ticker,date,period_ending,estimate,reported,surprise,surprise%
A,2021-05-25,21-Apr,0.82,0.97,0.15,18.29
AA,2021-04-15,21-Mar,0.48,0.79,0.31,64.58
AAL,2021-04-22,21-Mar,-4.35,-4.32,0.03,0.69
AAP,2021-06-02,21-Mar,3.08,3.34,0.26,8.44
AAPL,2021-04-28,21-Mar,1,1.4,0.4,40
ABBV,2021-04-30,21-Mar,2.77,2.95,0.18,6.5
ABC,2021-05-05,21-Mar,2.51,2.53,0.02,0.8
ABMD,2021-04-29,21-Mar,1.1,1.24,0.14,12.73
ABT,2021-04-20,21-Mar,1.33,1.32,-0.01,-0.75
ACC,2021-04-19,21-Mar,0.56,0.11,-0.45,-80.36
ACGL,2021-04-27,21-Mar,0.5,0.59,0.09,18
ACHC,2021-04-29,21-Mar,0.45,0.47,0.02,4.44
ACI,2021-04-26,21-Feb,0.5,0.6,0.1,20
ACM,2021-05-10,21-Mar,0.63,0.67,0.04,6.35
ACN,2021-03-18,21-Feb,1.9,2.03,0.13,6.84
ADBE,2021-03-23,21-Feb,2.79,3.14,0.35,12.54
ADI,2021-05-19,21-Apr,1.45,1.54,0.09,6.21
ADM,2021-04-27,21-Mar,1,1.39,0.39,39
ADP,2021-04-28,21-Mar,1.82,1.89,0.07,3.85
ADPT,2021-05-05,21-Mar,-0.41,-0.29,0.12,29.27
ADS,2021-04-29,21-Mar,3.23,6.28,3.05,94.43
ADSK,2021-05-27,21-Apr,0.94,1.03,0.09,9.57
ADT,2021-05-05,21-Mar,0.15,-0.07,-0.22,-146.67
AEE,2021-05-10,21-Mar,0.79,0.91,0.12,15.19
AEP,2021-04-22,21-Mar,1.23,1.15,-0.08,-6.5
AES,2021-05-06,21-Mar,0.3,0.28,-0.02,-6.67
AFG,2021-05-04,21-Mar,1.74,2.38,0.64,36.78
AFL,2021-04-28,21-Mar,1.2,1.53,0.33,27.5
AGCO,2021-04-29,21-Mar,1.11,2,0.89,80.18
AGL,2021-05-26,21-Mar,-0.04,-0.04,0,0
AGNC,2021-04-26,21-Mar,0.64,0.76,0.12,18.75
AGR,2021-05-03,21-Mar,0.78,1.14,0.36,46.15
AI,2021-06-02,21-Apr,-0.29,-0.24,0.05,17.24
AIG,2021-05-06,21-Mar,0.99,1.05,0.06,6.06
AIZ,2021-05-04,21-Mar,1.96,2.47,0.51,26.02
AJG,2021-04-29,21-Mar,1.83,2.02,0.19,10.38
AKAM,2021-05-04,21-Mar,1.3,1.38,0.08,6.15
AL,2021-05-06,21-Mar,1.01,0.7,-0.31,-30.69
ALB,2021-05-05,21-Mar,0.79,1.1,0.31,39.24
ALGN,2021-04-28,21-Mar,1.99,2.49,0.5,25.13
ALK,2021-04-22,21-Mar,-3.71,-3.51,0.2,5.39
ALL,2021-05-05,21-Mar,3.85,6.11,2.26,58.7
ALLE,2021-04-22,21-Mar,1.02,1.2,0.18,17.65
ALLY,2021-04-16,21-Mar,1.18,2.09,0.91,77.12
ALNY,2021-04-29,21-Mar,-1.75,-1.71,0.04,2.29
ALSN,2021-04-28,21-Mar,0.9,1.07,0.17,18.89
AM,2021-04-28,21-Mar,0.22,0.21,-0.01,-4.55
AMAT,2021-05-20,21-Apr,1.51,1.63,0.12,7.95
AMD,2021-04-27,21-Mar,0.44,0.52,0.08,18.18
AME,2021-05-04,21-Mar,1.02,1.07,0.05,4.9
AMED,2021-04-28,21-Mar,1.43,1.54,0.11,7.69
AMG,2021-05-03,21-Mar,4.26,4.28,0.02,0.47
AMGN,2021-04-27,21-Mar,4,3.7,-0.3,-7.5
AMH,2021-05-06,21-Mar,0.31,0.09,-0.22,-70.97
AMP,2021-04-26,21-Mar,4.73,5.43,0.7,14.8
AMT,2021-04-29,21-Mar,2.32,1.45,-0.87,-37.5
AMZN,2021-04-29,21-Mar,9.75,15.79,6.04,61.95
AN,2021-04-20,21-Mar,1.8,2.79,0.99,55
ANET,2021-05-04,21-Mar,2.38,2.5,0.12,5.04
ANSS,2021-05-05,21-Mar,0.85,1.12,0.27,31.76
ANTM,2021-04-21,21-Mar,6.86,7.01,0.15,2.19
AON,2021-04-30,21-Mar,4.04,4.28,0.24,5.94
AOS,2021-04-29,21-Mar,0.56,0.6,0.04,7.14
APA,2021-05-05,21-Mar,0.74,0.91,0.17,22.97
APD,2021-05-10,21-Mar,2.13,2.08,-0.05,-2.35
APH,2021-04-28,21-Mar,0.47,0.52,0.05,10.64
APO,2021-05-04,21-Mar,0.59,0.66,0.07,11.86
APTV,2021-05-06,21-Mar,0.77,1.06,0.29,37.66
ARE,2021-04-26,21-Mar,1.85,0.04,-1.81,-97.84
ARES,2021-04-29,21-Mar,0.51,0.46,-0.05,-9.8
ARMK,2021-05-11,21-Mar,-0.35,-0.24,0.11,31.43
ARW,2021-05-06,21-Mar,2.27,2.84,0.57,25.11
ASH,2021-04-28,21-Mar,1.36,1.05,-0.31,-22.79
ATH,2021-05-07,21-Mar,2.15,3.8,1.65,76.74
ATO,2021-05-05,21-Mar,2.05,2.3,0.25,12.2
ATR,2021-04-29,21-Mar,0.9,1.09,0.19,21.11
ATUS,2021-04-28,21-Mar,0.29,0.58,0.29,100
ATVI,2021-05-04,21-Mar,0.69,0.84,0.15,21.74
AVB,2021-04-28,21-Mar,1.94,1.02,-0.92,-47.42
AVGO,2021-06-03,21-Apr,6.44,6.62,0.18,2.8
AVLR,2021-05-06,21-Mar,-0.11,-0.08,0.03,27.27
AVT,2021-04-28,21-Mar,0.56,0.74,0.18,32.14
AVTR,2021-04-28,21-Mar,0.28,0.35,0.07,25
AVY,2021-04-28,21-Mar,2.01,2.4,0.39,19.4
AWI,2021-04-27,21-Mar,0.96,0.84,-0.12,-12.5
AWK,2021-05-03,21-Mar,0.73,0.73,0,0
AXON,2021-05-06,21-Mar,0.21,0.31,0.1,47.62
AXP,2021-04-23,21-Mar,1.68,1.74,0.06,3.57
